player,metric,median_rho,mean_rho,n_seeds_with_rho_positive,n_seeds_with_rho_greater_0p30,n_seeds_total
US,spearman_rho_policy,-0.1389,-0.0681,2,0,5
OPEC,spearman_rho_policy,0.1801,0.1178,4,1,5
RUS,spearman_rho_policy,-0.086,0.0141,2,1,5
ALL,spearman_rho_policy,0.0162,0.0213,8,2,15
US,spearman_rho_realised_lag1,0.0479,0.0719,4,0,5
OPEC,spearman_rho_realised_lag1,0.2169,0.1543,4,1,5
RUS,spearman_rho_realised_lag1,0.073,0.0135,3,0,5
ALL,spearman_rho_realised_lag1,0.073,0.0799,11,1,15
