gamma,seed,converged_price,collusion_index,greedy_price,greedy_collusion_index,q_undervisited_pct,q_US,q_OPEC,q_RUS
0.99,1495.0,77.3563,0.8678,81.9321,1.0966,0.8953,16.4567,26.6666,19.527
0.99,1496.0,83.2057,1.1603,77.7143,0.8857,0.8949,15.1824,18.804,22.8128
0.99,1497.0,74.4342,0.7217,74.05,0.7025,0.8939,18.2488,20.4043,26.9145
0.99,1498.0,78.3818,0.9191,77.5107,0.8755,0.8982,10.6461,21.336,29.6378
0.99,1499.0,79.2278,0.9614,81.6821,1.0841,0.8949,13.0985,26.6074,21.0667
0.99,1500.0,78.2359,0.9118,75.1214,0.7561,0.8949,17.3606,23.2003,21.2033
0.99,1501.0,90.7228,1.5361,96.1036,1.8052,0.919,10.5687,20.9649,17.7465
0.99,1502.0,75.6257,0.7813,74.0393,0.702,0.8971,13.3801,23.9194,27.0765
0.99,1503.0,79.6687,0.9834,80.4036,1.0202,0.8974,17.4949,26.3546,16.4842
0.99,1504.0,88.2276,1.4114,91.7143,1.5857,0.8903,13.207,18.9771,19.5922
