regime,sigma,average_price,total_quantity,consumer_surplus,total_welfare,price_US,price_OPEC,price_RUS,q_US,q_OPEC,q_RUS,profit_US,profit_OPEC,profit_RUS
bertrand_nash,0.6,35.8974,18.3385,771.1558,929.2942,41.2308,29.8022,36.6593,0.0,15.6835,2.6549,-0.0,153.7329,4.4055
bertrand_cooperative,0.6,51.25,22.0,756.25,1058.75,60.0,33.75,60.0,0.0,22.0,0.0,0.0,302.5,0.0
