model,q_US,q_OPEC,Q,P,consumer_surplus,total_welfare,profit_US,profit_OPEC,q_RUS,profit_RUS
duopoly,23.333333333333336,48.33333333333333,71.66666666666666,68.33333333333334,2568.0555555555547,5448.611111111111,544.4444444444447,2336.1111111111113,,
triopoly,15.0,40.0,80.0,60.0,3200.0,5650.0,225.0,1600.0,25.000000000000007,625.0000000000002
