specification,trigger_price,coop_fraction_steady,mean_coop_spell,mean_punish_spell,total_triggers,false_triggers,E_disc_profit_US,E_disc_profit_OPEC,E_disc_profit_RUS
AR1,68.0,0.9426,61.79,9.62,291,291,7921.84,35915.79,16851.07
Jump,68.0,0.854,39.13,9.5,685,685,7768.44,35685.88,16615.26
