t_after_shock,mean_price,std_price,mean_quantity
0,58.981710770820314,2.783111127083606,76.03602419721703
1,61.09517469428959,6.6550071459047535,75.98421766373345
2,63.256603772791124,8.604156151552704,75.01339013835934
3,65.29188723491237,9.82193422207397,73.62062710398929
4,67.25387082023738,10.593828685019933,72.07051083442303
5,69.16488233442062,10.95163389090074,70.41794739370185
6,71.09769079353771,10.994488580559148,68.71273067650641
7,72.98730049591974,10.692268169302398,66.93952631603177
8,74.88543860444366,10.060956524289157,65.08693773785267
9,76.80923381003547,8.909496531485589,63.194480404782745
10,78.68324600353867,7.159519135668587,61.179640693417205
11,78.88395557696738,6.969246752464455,60.968634773798115
12,78.70580182991853,7.096295449269484,61.0315816192608
13,78.58160176463981,7.1809798455520095,61.13554021063892
14,78.51866651779815,7.14069027531026,61.17538574268985
15,78.52990259521779,7.2069700303216955,61.190568661833005
16,78.55061965771041,7.278429034280766,61.245420366726634
17,78.52385667201624,7.351470506508625,61.21310453053971
18,78.52643273558856,7.4167638244366065,61.196297054174025
19,78.51995722379218,7.452474565967775,61.20046466139303
