US,OPEC,RUS,P,reward
47.5,0.0,28.75,63.75,0.0
5.267857142857139,55.714285714285715,22.008928571428573,57.00892857142857,2061.9260204081634
36.495535714285715,0.0,34.25223214285714,69.25223214285714,0.0
2.5167410714285694,55.714285714285715,23.384486607142858,58.38448660714286,2138.564253826531
35.80775669642857,0.0,34.596121651785715,69.59612165178572,0.0
2.3447963169642847,55.714285714285715,23.470458984375,58.470458984375,2143.3541434151784
35.7647705078125,0.0,34.61761474609375,69.61761474609375,0.0
2.334049769810264,55.714285714285715,23.47583225795201,58.47583225795201,2143.653511514469
35.762083871024,0.0,34.618958064488,69.618958064488,0.0
2.3333781106131397,55.714285714285715,23.476168087550572,58.476168087550576,2143.672222020675
35.76191595622471,0.0,34.619042021887644,69.61904202188765,0.0
2.3333361319133203,55.714285714285715,23.476189076900482,58.47618907690048,2143.6733914273127
35.76190546154976,0.0,34.61904726922512,69.61904726922512,0.0
2.3333335082445785,55.714285714285715,23.476190388734853,58.47619038873485,2143.6734645152274
35.761904805632575,0.0,34.61904759718371,69.61904759718371,0.0
2.3333333442652844,55.714285714285715,23.4761904707245,58.476190470724504,2143.6734690832222
35.76190476463775,0.0,34.619047617681126,69.61904761768113,0.0
2.3333333340165794,55.714285714285715,23.476190475848853,58.47619047584885,2143.6734693687217
35.761904762075574,0.0,34.61904761896221,69.61904761896221,0.0
2.333333333376032,55.714285714285715,23.476190476169126,58.47619047616912,2143.6734693865656
35.76190476191544,0.0,34.61904761904228,69.61904761904228,0.0
2.3333333333360002,55.714285714285715,23.476190476189142,58.476190476189146,2143.673469387681
35.76190476190543,0.0,34.619047619047286,69.61904761904728,0.0
2.333333333333499,55.714285714285715,23.476190476190393,58.476190476190396,2143.6734693877506
29.333333333333375,12.857142857142858,31.404761904761884,66.40476190476188,596.6326530612242
31.797619047619058,0.0,36.60119047619047,71.60119047619048,0.0
29.199404761904766,0.0,37.90029761904762,72.90029761904762,0.0
28.54985119047619,0.0,38.225074404761905,73.2250744047619,0.0
28.387462797619047,0.0,38.306268601190474,73.30626860119048,0.0
28.346865699404763,0.0,38.32656715029762,73.32656715029762,0.0
