regime,n_seeds,mean_collusion_index,std_collusion_index,ci_95_low,ci_95_high,mean_converged_price,std_converged_price,mean_q_US,std_q_US,mean_q_OPEC,std_q_OPEC,mean_q_RUS,std_q_RUS
unconstrained,20.0,0.848,0.1382,0.7874,0.9086,76.96,2.7643,16.9144,2.5391,25.0125,2.5659,21.1188,2.8964
constrained,20.0,0.8706,0.1919,0.7865,0.9547,83.9414,5.2774,15.7849,2.9632,22.2047,4.1806,18.069,2.7644
