t,price_mean,price_p10,price_p25,price_p75,price_p90
0,59.67941129069241,56.94074378215678,58.435746349701134,61.306428374857994,62.57071735293342
1,59.7250360005984,56.67813787194426,58.07721213979404,61.152818130130356,62.724291543374925
2,59.88095721298066,56.27949281037626,58.289933006261776,61.39857829502374,63.4448649853225
3,59.90457775593272,56.40801646734939,58.476636537826074,61.43845820097346,63.071835056450894
4,60.12360020648711,56.44537696384261,58.30549169031877,62.1306874975613,63.7649935650528
5,60.066035603192226,56.480683860886685,58.49996454016656,61.874568664068406,63.80516789047284
6,59.904865317222445,56.505944067320364,58.05362209959705,61.97536209583939,63.04313162680447
7,59.916283420726806,56.46039110183824,58.04432836273865,61.917757030561454,63.40740807093652
8,60.06588050497037,56.40759300981644,57.96768751152335,61.99769839869443,63.68680485501438
9,59.878848942698035,56.450323078887735,57.99784609310977,61.534269313938935,63.43263163188064
10,59.81332380289636,56.419186100938056,57.81592630527581,61.59128233638802,63.43698015678173
11,60.055644627153086,56.501246660248306,58.11831690867524,61.97590942534894,63.725801852124754
12,60.096454504553236,56.61506664478589,58.20838503575485,61.941405335143685,63.75400555218903
13,60.23033528987011,56.6512251489497,58.19669910840477,61.89452618656975,63.63047741970422
14,60.227825940290884,56.49636846575918,58.35314503612237,61.76016408196918,64.20351199044194
15,60.25143333896897,56.960281419373,58.57953378862814,62.19192642938019,63.89818337725193
16,60.07317106701693,56.53164926760444,58.11300297821817,61.97850118097794,63.56155154829478
17,60.02597970709566,56.43462676866152,58.03912716960186,62.08426122035662,63.995014889739466
18,60.12582533343032,56.51609090912369,58.30221361535756,62.22378804304371,63.521323530005326
19,60.148604101612655,56.77110047092491,58.486247192701015,61.97809257599506,63.64419093377315
20,60.017438770022636,56.51804555904874,58.251576836320254,61.838740657115544,63.509023957543256
21,60.114225405869355,56.64571388702009,58.25243794434688,61.8380359146901,63.71118466011435
22,59.848135722047466,56.298741711412475,57.73366579443357,61.80292775526364,63.53086411041576
23,59.75454337649049,56.04219944489357,57.737304796134026,61.90392433014266,63.30402988804365
24,60.0336527700835,56.814506280057024,58.389609425550276,61.573991450599166,63.78441841082639
25,59.965037488613696,56.069675151834616,58.191374686772775,61.95328163263816,63.251629528444504
26,59.80202179518527,55.66428509350603,57.71531227481405,61.99383740420266,63.91326099860904
27,59.81160346686067,55.96871259024871,57.99143013237774,61.911939427570566,63.363242468406135
28,59.88737868132026,56.400051605646645,58.37802060711496,61.67901359215007,63.15567652125301
29,59.85300237587206,56.22981466059552,58.0906840040855,61.773860284072995,63.20149259996135
30,60.06502510747192,56.57140620745187,58.39872460225213,61.685345089091605,63.218490398684146
31,60.0299962008253,57.03178515762054,58.29006925351155,61.71871840851172,63.48439631029086
32,59.957663208761076,56.763992693786214,58.145539858461106,61.53731009473757,63.39115406650078
33,59.98857505263941,56.55404969663049,58.39380141371029,61.52813004288132,63.26584685106422
34,60.33520896810964,56.593954916975775,58.6463510227844,62.253604360707385,63.873243500294166
35,60.18993053267755,56.60860690793089,58.54276601155849,62.04642385067375,63.57820176644977
36,60.2460295348973,57.231990507217084,58.45014456475039,61.972252658078915,63.51294694292157
37,60.15891315514812,56.682051874180786,58.179868483681325,62.32586466173001,63.74255628527025
38,60.20858564450761,56.761879003126396,58.5958931487166,61.96113702623644,63.70925699230863
39,60.0842476189827,57.003085058898925,58.39269233109593,61.55981480816804,63.437791792538995
40,60.02349505937707,56.65235381258365,58.299946734128305,61.82952430283328,63.66384486724276
41,59.86396804769732,56.36102961623094,58.23357939236551,61.72185516412986,63.47313759285161
42,59.88351050664672,56.1565284240941,58.18462267303319,61.76455915041687,63.354781418282855
43,59.926153642825426,56.51145055973942,58.216431656209416,61.7539034164193,63.22637632145187
44,59.891792992826595,56.446299265197574,58.02574961426701,61.63865846988275,63.615532227772576
45,60.01753132583417,56.325546755520165,58.078728207608876,61.94139250986842,63.370854370982386
46,60.01452571763009,56.44450876288368,58.319057788695005,61.58716589089792,63.30735769158931
47,60.173345737170884,56.929343489023424,58.28890080088915,62.014957155944685,63.64856963304597
48,60.14552317675304,56.52205162970604,58.34379687984948,61.90314803604227,63.271458096502215
49,59.967900960896976,56.511009691831184,58.163275877022926,61.712680575510326,63.29681583104277
