t,price_mean,price_p10,price_p25,price_p75,price_p90
0,59.903472577149685,57.62517623722927,58.46348505115084,61.25692750309544,62.43375064773577
1,59.97284571519456,57.100596336737794,58.52337494337162,61.43938950490309,62.788060705413066
2,59.98521820210255,56.97939367771113,58.47474977067695,61.26089758547853,63.077585209127406
3,60.00411754344551,56.74562129988864,58.25834277839702,61.53966795045189,63.201691646626195
4,60.15671089917998,56.662468344815885,58.61513214005922,61.886947719118815,63.40635382001248
5,60.140521019230476,57.13514092107802,58.40689352408876,61.74704187896603,63.48532634795364
6,60.17374468684245,57.09903366954015,58.41401941768302,61.66942633243093,63.24010849723004
7,60.052061376609686,57.2480591160966,58.31127565075528,61.74219601696248,63.44309873056561
8,59.937459986732954,56.838535477643404,58.20412108932361,61.527599148035414,63.18915577702836
9,59.919596476091,56.503890335340465,58.036008698293415,61.69841691647102,63.17318022123597
10,60.01695196446731,56.71103246305862,58.18430453065248,61.71388322064903,63.29405044533102
11,59.97232770431969,56.91783674513108,58.2580799736523,61.82215830178011,63.219517623456284
12,59.9459319071233,56.548342281097675,58.14896551940036,61.91628536720608,63.28405833697542
13,59.937596856343866,56.52215374107223,58.01010181222789,61.84273907096559,63.304828655837134
14,60.05041189028996,56.72951896847874,58.299342304582126,61.909784730415645,63.3898391792905
15,60.18801635398435,56.77118302235673,58.344222714018734,62.03187383747756,63.637539045587594
16,60.2358514825075,57.10873724758176,58.71986589303773,61.861181052709725,63.5289568686851
17,59.98909390844616,56.77776427566829,58.517715707874856,61.60106431264269,63.45068475329299
18,59.987543916272095,56.845115620136724,58.23951270749872,61.70006531477701,63.27883237041118
19,59.89020048622185,57.08008284154675,58.231998472714125,61.50113154959307,63.08573548809744
20,60.098636098883155,57.02688248569058,58.512468242952515,61.97040203355087,63.28993560244814
21,60.185363763899986,56.8156132506286,58.711539075124364,61.711098685118955,63.343964475172186
22,59.95972579491863,56.53224361213224,57.97688525794743,61.72176263262459,63.33634818735229
23,59.97252695057597,56.667069750061614,58.21839977049314,61.71164404658444,63.161504980310475
24,60.1508222873003,57.07071550616618,58.30444553801024,61.760701333168996,63.506874070922635
25,60.19406273689126,56.87565309679114,58.67888536176663,61.87994923842154,63.20757876050424
26,60.13785274272064,57.00239083970873,58.450785329631685,61.783513552054686,63.47862855975564
27,60.113406943416095,56.89197833498387,58.67783196430501,61.63569532451825,63.15877393374248
28,59.894899729660224,56.682944040332906,58.395784093185426,61.37767875418352,62.802072915619945
29,59.90183437388817,56.99258521205549,58.40077996832484,61.3776520341369,63.1627796529174
30,59.769103855102244,56.614851409029484,58.1176565527138,61.51578463592725,62.64678362504722
31,59.95418144421629,56.9225458899779,58.621562385355446,61.32738286884023,62.58182268565012
32,59.990010744548044,57.174283023152995,58.269804166860375,61.52086336360293,63.12893549431445
33,59.81680986481515,56.2932716809006,57.95151566250387,61.55187291807036,63.09908181490353
34,60.017014083026744,56.87822783194578,58.37417059232339,61.65862721723259,63.25983152018617
35,60.03002584095444,56.82393526901672,58.398009837136236,61.73985528405956,63.58835846528713
36,60.191503717793566,57.1319885115838,58.58367292446442,61.691239943363726,63.44652105415145
37,60.352244287364556,57.10313731814347,58.651252790755976,61.94573296332747,64.02930341494998
38,60.1741998846959,57.125659034247064,58.569752414838234,61.79344071847376,63.3656380847087
39,60.110925055021106,56.91669419991812,58.3642647043543,61.83666835992485,63.170083733808745
40,60.20720330758224,57.00299938383877,58.5295730920103,61.78715038507863,63.718971653250584
41,60.45791833539999,57.38563498873749,58.54701696281742,62.13571572529054,63.60404942892473
42,60.32747948386691,57.27118634421377,58.778683265147,61.946447167400095,63.33972001471205
43,60.02308350225507,57.025810642868166,58.588074269215255,61.51949550663515,62.52956516874257
44,60.149517102486655,57.038749950977284,58.53553606570563,61.769036995504436,63.15569958874596
45,60.03760017622501,57.022214865989696,58.2498052981404,61.727402288135735,63.34962279955476
46,60.13920844448763,57.23118227016783,58.41440048522638,61.778468394119855,63.31680852053574
47,60.03231845133054,56.82238240452165,58.54994295897744,61.750944711713494,63.29429185708425
48,59.95858902113669,56.601886808919744,58.291600045874716,61.68338560861287,63.10381944545959
49,59.7658736052281,56.62077851676603,58.2722900960074,61.556309937954296,62.88741385113612
